end station id,station_name,station_latitude,station_longitude,sitetype
505,6 Ave & W 33 St,40.74901271,-73.98848395,Station
3255,8 Ave & W 31 St,40.75058535,-73.99468482,Station
525,W 34 St & 11 Ave,40.75594159,-74.0021163,Station
447,8 Ave & W 52 St,40.76370739,-73.9851615,Station
3356,Amsterdam Ave & W 66 St,40.7746671,-73.98470567,Station
482,W 15 St & 7 Ave,40.73935542,-73.99931783,Station
228,E 48 St & 3 Ave,40.7546011,-73.97187886,Station
173,Broadway & W 49 St,40.76068327,-73.98452729,Station
479,9 Ave & W 45 St,40.76019252,-73.9912551,Station
450,W 49 St & 8 Ave,40.76227205,-73.98788205,Station
347,Greenwich St & W Houston St,40.728846,-74.008591,Station
127,Barrow St & Hudson St,40.73172428,-74.00674436,Station
3635,W 36 St & 9 Ave,40.75462324,-73.99516761,Station
457,Broadway & W 58 St,40.76695317,-73.98169333,Station
523,W 38 St & 8 Ave,40.75466591,-73.99138152,Station
514,12 Ave & W 40 St,40.76087502,-74.00277668,Station
478,11 Ave & W 41 St,40.76030096,-73.99884222,Station
484,W 44 St & 5 Ave,40.75500254,-73.98014437,Station
490,8 Ave & W 33 St,40.751551,-73.993934,Station
500,Broadway & W 51 St,40.76228826,-73.98336183,Station
477,W 41 St & 8 Ave,40.75640548,-73.9900262,Station
3466,W 45 St & 6 Ave (OLD),40.75668721,-73.98257732,Station
529,W 42 St & 8 Ave,40.7575699,-73.99098507,Station
3459,E 53 St & 3 Ave,40.75763228,-73.96930575,Station
3236,W 42 St & Dyer Ave,40.75898481,-73.99379969,Station
3233,E 48 St & 5 Ave,40.75724568,-73.97805914,Station
465,Broadway & W 41 St,40.75513557,-73.98658032,Station
487,E 20 St & FDR Drive,40.73314259,-73.97573881,Station
469,Broadway & W 53 St,40.76344058,-73.98268129,Station
359,E 47 St & Park Ave,40.75510267,-73.97498696,Station
379,W 31 St & 7 Ave,40.749156,-73.9916,Station
3167,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,Station
3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,Station
3173,Riverside Blvd & W 67 St,40.77750703,-73.98888588,Station
442,W 27 St & 7 Ave,40.746647,-73.993915,Station
546,E 30 St & Park Ave S,40.74444921,-73.98303529,Station
3435,Grand St & Elizabeth St,40.718822,-73.99596,Station
328,Watts St & Greenwich St,40.72405549,-74.00965965,Station
3534,Frederick Douglass Blvd & W 117 St,40.805159,-73.954692,Station
2006,Central Park S & 6 Ave,40.76590936,-73.97634151,Station
383,Greenwich Ave & Charles St,40.735238,-74.000271,Station
2021,W 45 St & 8 Ave,40.75929124,-73.98859651,Station
3141,1 Ave & E 68 St,40.76500525,-73.95818491,Station
72,W 52 St & 11 Ave,40.76727216,-73.99392888,Station
519,Pershing Square North,40.751873,-73.977706,Station
480,W 53 St & 10 Ave,40.76669671,-73.99061728,Station
520,W 52 St & 5 Ave,40.75992262,-73.97648516,Station
358,Christopher St & Greenwich St,40.73291553,-74.00711384,Station
212,W 16 St & The High Line,40.74334935,-74.00681753,Station
388,W 26 St & 10 Ave,40.74971775,-74.00295035,Station
448,W 37 St & 10 Ave,40.75660359,-73.9979009,Station
3458,W 55 St & 6 Ave,40.76309387,-73.97835016,Station
468,Broadway & W 56 St,40.7652654,-73.98192338,Station
3323,W 106 St & Central Park West,40.7981856,-73.9605909,Station
507,E 25 St & 2 Ave,40.73912601,-73.97973776,Station
380,W 4 St & 7 Ave S,40.73401143,-74.00293877,Station
504,1 Ave & E 16 St,40.73221853,-73.98165557,Station
426,West St & Chambers St,40.71754834,-74.01322069,Station
446,W 24 St & 7 Ave,40.74487634,-73.99529885,Station
2009,Catherine St & Monroe St,40.71117444,-73.99682619,Station
382,University Pl & E 14 St,40.73492695,-73.99200509,Station
515,W 43 St & 10 Ave,40.76009437,-73.99461843,Station
3443,W 52 St & 6 Ave,40.76132983,-73.97982001,Station
449,W 52 St & 9 Ave,40.76461837,-73.98789473,Station
3283,W 89 St & Columbus Ave,40.7882213,-73.97041561,Station
377,6 Ave & Canal St,40.72243797,-74.00566443,Station
458,11 Ave & W 27 St,40.751396,-74.005226,Station
522,E 51 St & Lexington Ave,40.75714758,-73.97207836,Station
3259,9 Ave & W 28 St,40.74937024,-73.99923384,Station
2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,Station
499,Broadway & W 60 St,40.76915505,-73.98191841,Station
492,W 33 St & 7 Ave,40.75019995,-73.99093085,Station
3301,Columbus Ave & W 95 St,40.7919557,-73.968087,Station
3224,W 13 St & Hudson St,40.73997354,-74.00513873,Station
491,E 24 St & Park Ave S,40.74096374,-73.98602213,Station
385,E 55 St & 2 Ave,40.75797322,-73.96603308,Station
526,E 33 St & 5 Ave,40.74765947,-73.98490707,Station
459,W 20 St & 11 Ave,40.746745,-74.007756,Station
3643,E 41 St & 5 Ave,40.75272201,-73.98123622,Station
486,Broadway & W 29 St,40.7462009,-73.98855723,Station
257,Lispenard St & Broadway,40.71939226,-74.00247214,Station
540,Lexington Ave & E 29 St,40.74311555,-73.98215353,Station
3002,South End Ave & Liberty St,40.711512,-74.015756,Station
517,Pershing Square South,40.751581,-73.97791,Station
368,Carmine St & 6 Ave,40.73038599,-74.00214988,Station
3331,Riverside Dr & W 104 St,40.8013434,-73.97114574,Station
3462,E 44 St & 2 Ave,40.75118387,-73.97138715,Station
3641,Broadway & W 25 St,40.74286877,-73.98918629,Station
530,11 Ave & W 59 St,40.771522,-73.990541,Station
164,E 47 St & 2 Ave,40.75323098,-73.97032517,Station
3231,E 67 St & Park Ave,40.7678008,-73.96592081,Station
362,Broadway & W 37 St,40.75172632,-73.98753523,Station
3142,1 Ave & E 62 St,40.7612274,-73.96094022,Station
267,Broadway & W 36 St,40.75097711,-73.98765428,Station
435,W 21 St & 6 Ave,40.74173969,-73.99415556,Station
3320,Central Park West & W 100 St,40.79406661,-73.96286845,Station
284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,Station
423,W 54 St & 9 Ave,40.76584941,-73.98690506,Station
297,E 15 St & 3 Ave,40.734232,-73.986923,Station
533,Broadway & W 38 St,40.75299641,-73.98721619,Station
524,W 43 St & 6 Ave,40.75527307,-73.98316936,Station
441,E 52 St & 2 Ave,40.756014,-73.967416,Station
3256,Pier 40 - Hudson River Park,40.72771408,-74.01129574,Station
3160,Central Park West & W 76 St,40.77896784,-73.97374737,Station
305,E 58 St & 3 Ave,40.76095756,-73.96724467,Station
485,W 37 St & 5 Ave,40.75038009,-73.98338988,Station
3314,W 95 St & Broadway,40.7937704,-73.971888,Station
3316,W 104 St & Amsterdam Ave - 1,40.7989937,-73.96621738,Station
3155,Lexington Ave & E 63 St,40.76440023,-73.96648977,Station
2008,Little West St & 1 Pl,40.70569254,-74.01677685,Station
146,Hudson St & Reade St,40.71625008,-74.0091059,Station
336,Sullivan St & Washington Sq,40.73047747,-73.99906065,Station
495,W 47 St & 10 Ave,40.76269882,-73.99301222,Station
405,Washington St & Gansevoort St,40.739323,-74.008119,Station
494,W 26 St & 8 Ave,40.74734825,-73.99723551,Station
536,1 Ave & E 30 St,40.74144387,-73.97536082,Station
3223,E 55 St & 3 Ave,40.75899656,-73.96865398,Station
3533,St. Nicholas Ave & W 126 St,40.8114323,-73.9518776,Station
248,Laight St & Hudson St,40.72185379,-74.00771779,Station
3461,Murray St & Greenwich St,40.71485151,-74.01122332,Station
508,W 46 St & 11 Ave,40.76341379,-73.99667444,Station
3372,E 74 St & 1 Ave,40.7689738,-73.95482273,Station
